Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
FORTUNA,170697,,,UBHQ8,Kaliningrad,Russia,KM(*) Ice3 R3-RSN AUT3,,Tender,06/12/2018,Russia,53,,,84,25,21.000 t.,128 t.,22.50 m.,22.50 m.,20.92 m.,6.60 m.,2.45 m.,1.43 m.,10.0,Diesel,Built ME: 2017 Country Construction: Germany The company has built ME: The number and power of ME: 2*412 Mark ME:,,2 - Fixed pitched solid propeller,3,2* 50,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,,,,,,1*3.4,7000,Diesel oil,,,90,Cat2,14.0,"""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru",,,
NORD WEST,888108,8718885,BARDI,UBXP8,Murmansk,Russia,KM* Ice3 fishing vessel,,Fishing,17/01/1989,Norway,143,,,1167 MK-1969,350,473.000 t.,1677 t.,50.60 m.,50.60 m.,47.42 m.,12.00 m.,7.15 m.,5.07 m.,12.0,Diesel,Built ME: 1988 Country Construction: Germany The company has built ME: The number and power of ME: 1*1840 Mark ME: 6M453C,,1 - Controllable pitch propeller,4,1* 1200 1* 216,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 415,,,3,5,,,,,,,156,Diesel oil,62 m3,,400,Cat2,32.0,"NORD WEST FLOT LTD  Address: Russia, 183039 Murmansk, ul. Rogozerskaya, 15 IMO: Email: m.bulanov@nw-fc.ru Company Website:","NORD WEST FLOT LTD  Address: Russia, 183039 Murmansk, ul. Rogozerskaya, 15 IMO: Email: m.bulanov@nw-fc.ru Company Website:",,,
PRIAM,970853,9148881,NORA,UCPE,Petropavlovsk-Kamchatskiy,Russia,KM* Ice2 AUT1-ICS oil tanker(ESP),,Oil tanker,24/11/1997,Denmark,229,,,2657 MK-1969,1069 MK-1969,3746.000 t.,5680 t.,91.15 m.,91.15 m.,84.90 m.,14.02 m.,7.10 m.,5.91 m.,14.0,Diesel,Built ME: 1996 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*2460 Mark ME: 6R32,,1 - Controllable pitch propeller,4,1* 640 3* 384,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,15* 3922,,1,9,,,,,,1*2.0 1*1.5,370,"Diesel oil, Heavy oil",1940 m3,ПТ,910,Cat2,44.0,"OOO ""MT BUNKER""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova 9/6 pom.1 IMO: 5979520 Email: Company Website:","LLL ""MORSKOY STANDART-BUNKER""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d. 9/6, office 1 IMO: 5901309 Email: mss@mortrast.ru Company Website:",,,"LLL ""MORSKOY STANDART-BUNKER""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d. 9/6, office 1 IMO: 5901309 Email: mss@mortrast.ru Company Website:"
PROTEY,923566,8920555,STOLT KITE,UBRF,Petropavlovsk-Kamchatskiy,Russia,KM* Ice2 AUT1 oil tanker(ESP),,Oil tanker,30/10/1992,Denmark,201,,,3206 MK-1969,1356 MK-1969,4817.000 t.,6646 t.,96.35 m.,96.35 m.,87.40 m.,15.33 m.,8.05 m.,6.20 m.,13.4,Diesel,Built ME: 1992 Country Construction: Germany The company has built ME: The number and power of ME: 1*2999 Mark ME:,,1 - Controllable pitch propeller,4,1* 633 3* 335,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,15* 5154,,1,12,,,,,,,433,"Diesel oil, Heavy oil",1835 m3,,844,Cat3,46.0,"OOO ""MT BUNKER""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova 9/6 pom.1 IMO: 5979520 Email: Company Website:","LLL ""MORSKOY STANDART-BUNKER""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d. 9/6, office 1 IMO: 5901309 Email: mss@mortrast.ru Company Website:",,"LLL ""MORSKOY STANDART-BUNKER""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d. 9/6, office 1 IMO: 5901309 Email: mss@mortrast.ru Company Website:","LLL ""MORSKOY STANDART-BUNKER""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d. 9/6, office 1 IMO: 5901309 Email: mss@mortrast.ru Company Website:"
OSTROVNOY-8,867296,8714724,KAP,UBVP4,Kholmsk,Russia,KM* fishing vessel,,Fishing,15/04/1988,Denmark,502/162,,,1086 MK-1969,460 MK-1969,1276.000 t.,1398 t.,54.00 m.,54.00 m.,48.08 m.,11.00 m.,8.00 m.,6.60 m.,11.0,Diesel,Built ME: 1988 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*2250 Mark ME: 6R 32D,,1 - Controllable pitch propeller,4,1* 1456 2* 470 1* 160,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,6* 1300,,,2,6,,,,Р 6 - 0.6*0.6,,,192,Diesel oil,73 m3,,380,Cat2,30.0,"Fish Procession Plant ""Ostrovnoy"" LTD  Address: Russia, 694520 Sakhalinskaya obl., Yuzhno-Kurilskiy r-on, s. Malokurilskoe, ul. Sovetskaya, d. 8 IMO: Email: sbm@ostrovnoy.ru; Company Website:","Fish Procession Plant ""Ostrovnoy"" LTD  Address: Russia, 694520 Sakhalinskaya obl., Yuzhno-Kurilskiy r-on, s. Malokurilskoe, ul. Sovetskaya, d. 8 IMO: Email: sbm@ostrovnoy.ru; Company Website:","Fish Procession Plant ""Ostrovnoy"" LTD  Address: Russia, 694520 Sakhalinskaya obl., Yuzhno-Kurilskiy r-on, s. Malokurilskoe, ul. Sovetskaya, d. 8 IMO: Email: sbm@ostrovnoy.ru; Company Website:",,
МЕХАНИК ФИЛИППОВ,795473,,,UBXQ7,Astrakhan,Russia,KM(*) R3 tug,,Tug,10/01/1979,Russia,175,,,24,7,5.000 t.,,17.37 m.,17.37 m.,16.16 m.,3.80 m.,2.16 m.,1.39 m.,,Diesel,"Built ME: Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 6CHSP 15/18",,1 - Fixed pitched solid propeller,4,,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,,,,,,,1,Diesel oil,,,,,,"Gidrotekhmash LLC  Address: Russia, 416340 Astrakhanskaya obl., Kamyzyak, ul. Pushkina, d. 154, korp. A IMO: Email: ooo_gidrotehmash@mail.ru Company Website:",,,,
TORLAND,990652,9217864,TORLAND,UBYP6,Nevelsk,Russia,KM* fishing vessel,,Fishing,17/10/2000,Norway,172,,,846 MK-1969,254 MK-1969,970.000 t.,1998 t.,44.90 m.,44.90 m.,38.80 m.,12.00 m.,7.35 m.,6.50 m.,14.7,Diesel,Built ME: 1999 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*3000 Mark ME: W8L32,,1 - Controllable pitch propeller,,1* 1160 1* 228 1* 1540,,,0,R507A,"Automatic identification system Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,8* 741,,,1,6,,,,Р 2 - 0.8*0.8Р 6 - 1.6*1.6,,,223,Diesel oil,,,210,Cat2,26.0,"KURILSKIY RYBAK, JOINT-STOCK COMPANY  Address: Russia, 693010 Sakhalinskaya obl., Yuzhno-Sakhalinsk, per. Altayskiy, d. 15 IMO: Email: ribak555@yandex.ru;flot.gidrostroj2012@yandex.ru Company Website:","KURILSKIY RYBAK, JOINT-STOCK COMPANY  Address: Russia, 693010 Sakhalinskaya obl., Yuzhno-Sakhalinsk, per. Altayskiy, d. 15 IMO: Email: ribak555@yandex.ru;flot.gidrostroj2012@yandex.ru Company Website:","KURILSKIY RYBAK, JOINT-STOCK COMPANY  Address: Russia, 693010 Sakhalinskaya obl., Yuzhno-Sakhalinsk, per. Altayskiy, d. 15 IMO: Email: ribak555@yandex.ru;flot.gidrostroj2012@yandex.ru Company Website:",,
TORON,990645,9217852,TOR-ON,UBYP7,Nevelsk,Russia,KM* fishing vessel,,Fishing,04/09/1999,Norway,171,,,846 MK-1969,254 MK-1969,970.000 t.,1998 t.,44.90 m.,44.90 m.,38.80 m.,12.00 m.,7.35 m.,6.50 m.,14.7,Diesel,Built ME: 1999 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*3000 Mark ME: W8L32,,1 - Controllable pitch propeller,,1* 1160 1* 228 1* 1540,,,0,R507A,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,8* 741,,,1,6,,,,Р 2 - 0.8*0.8Р 6 - 1.5*1.5,,,223,Diesel oil,,,210,Cat2,26.0,"KURILSKIY RYBAK, JOINT-STOCK COMPANY  Address: Russia, 693010 Sakhalinskaya obl., Yuzhno-Sakhalinsk, per. Altayskiy, d. 15 IMO: Email: ribak555@yandex.ru;flot.gidrostroj2012@yandex.ru Company Website:","KURILSKIY RYBAK, JOINT-STOCK COMPANY  Address: Russia, 693010 Sakhalinskaya obl., Yuzhno-Sakhalinsk, per. Altayskiy, d. 15 IMO: Email: ribak555@yandex.ru;flot.gidrostroj2012@yandex.ru Company Website:","KURILSKIY RYBAK, JOINT-STOCK COMPANY  Address: Russia, 693010 Sakhalinskaya obl., Yuzhno-Sakhalinsk, per. Altayskiy, d. 15 IMO: Email: ribak555@yandex.ru;flot.gidrostroj2012@yandex.ru Company Website:",,
BALTIC AUTUMN,932962,9014767,ROSTOCK REEFER,C6VR5,Nassau,The Commonwealth of the Bahamas,KM* Ice1 REF,,Refrigerated cargo ship,01/03/1993,Germany,1119,,,10842 MK-1969,6381 MK-1969,12891.000 t.,,156.53 m.,156.53 m.,147.00 m.,23.00 m.,13.20 m.,9.50 m.,21.0,Diesel,Built ME: 1993 Country Construction: Germany The company has built ME: The number and power of ME: 1*12180 Mark ME:,,1 - Fixed pitched solid propeller,4,3* 1370,,REF*,-30,R22,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,4* 16772,,,4,5,,,,,0*0.0,4*18.0,1571,"Heavy oil, Motor oil",1570 m3,,1600,Cat3,54.0,"ORION SOLUTION SERVICES CORP.  Address: Global Bank Tower, 18th Floor, Suite No. 1801, 50th Street, Panama, Republic of Panama IMO: Email: Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:"
TOPAZ BELAYA,160778,9811579,TOPAZ BELAYA,UGOC,Astrakhan,Russia,KM* R2 AUT1,,General cargo,15/08/2017,Vietnam,861,,,3183 MK-1969,955 MK-1969,2969.000 t.,5260 t.,123.00 m.,123.00 m.,118.00 m.,16.70 m.,5.58 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2016 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,2* 1200,2 - Swingning propeller unit,5,3* 940,,,,,"Automatic identification system Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Radio station for life-saving craft Rate of turn indicator Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station Voyage data recorder",,,,,1,6,,,,,,,280,Diesel oil,5099 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
POLA GALI,170707,9851127,,UBCV2,Bolshoy port of St.-Petersburg,Russia,"KM(*) Ice2 R2 AUT1-ICS CONT (deck; cargo holds Nos.1, 2) DG(bulk) DG(pack) NAABSA1",,General cargo,26/02/2021,Russia,593,,,6305 MK-1969,3455 MK-1969,8107.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.71 m.,10.2,,Built ME: 2018 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Swingning propeller unit,4,2* 360,,,,,"Automatic identification system Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2965 1*8441,,,248,1,5,,,,D 1 - 24.7*13.4D 1 - 74.8*13.4,,1*20.0,260,"Diesel oil, Heavy oil",4712 m3,ПТ,770,Cat3,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","Pola Rise Limited  Address: Russia, 190068 St.Petersburg, nab. reki Fontanki, d. 161, of. 118 IMO: 6109331 Email: operating@pola-group.com; t.makhovskaya@pola-group.com Company Website:","INOK TM LTD  Address: Russia, 190900 St.Petersburg, ul. Sofiyskaya, d. 56, boks 1456 IMO: 4032143 Email: shipman@inok-tm.com; tanker@inok-tm.com; drycargo@inok-tm.com Company Website: www.inok-tm.com","INOK TM LTD  Address: Russia, 190900 St.Petersburg, ul. Sofiyskaya, d. 56, boks 1456 IMO: 4032143 Email: shipman@inok-tm.com; tanker@inok-tm.com; drycargo@inok-tm.com Company Website: www.inok-tm.com","INOK TM LTD  Address: Russia, 190900 St.Petersburg, ul. Sofiyskaya, d. 56, boks 1456 IMO: 4032143 Email: shipman@inok-tm.com; tanker@inok-tm.com; drycargo@inok-tm.com Company Website: www.inok-tm.com"
TARI,877796,8708012,RYUSEI MARU №8,UBXP3,Vanino,Russia,(KM)* fishing vessel,,Fishing,18/06/1987,Japan,3133,,,764 MK-1969,303 MK-1969,326.000 t.,303 t.,53.51 m.,53.51 m.,46.90 m.,8.70 m.,3.75 m.,3.40 m.,13.0,Diesel,Built ME: 1987 Country Construction: Japan The company has built ME: The number and power of ME: 1*735 Mark ME: LH28RG,,1 - Fixed pitched solid propeller,4,2* 280,,,-50,R22,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,3* 658,,,1,6,,,,Р 1 - 0.4*0.3Р 1 - 1.0*0.6Р 1 - 0.8*0.8Р 1 - 1.3*2.8Р 1 - 2.2*2.2,,,212,Diesel oil,,,254,Cat2,28.0,"""Sigma Marine Technology"" Co.,Ltd  Address: Russia, 680000 Khabarovsk, ul. Kalinina d. 83 A, of. 1 IMO: Email: sigma-m-tech@mail.ru; e.kuryanovich@sigma-m-tech.ru; mr.mmakarov@gmail.com; vav0265@gmail.com Company Website:","""Sigma Marine Technology"" Co.,Ltd  Address: Russia, 680000 Khabarovsk, ul. Kalinina d. 83 A, of. 1 IMO: Email: sigma-m-tech@mail.ru; e.kuryanovich@sigma-m-tech.ru; mr.mmakarov@gmail.com; vav0265@gmail.com Company Website:",,,
BALTIYSKIY ISSLEDOVATEL,101714,9572020,BALTIC EXPLORER,UBAQ4,Arkhangelsk,Russia,KM* DYNPOS-2 supply vessel (OS),,Supply vessel (ORSV),01/07/2013,Indonesia,924,,,2503 MK-1969,751 MK-1969,1214.000 t.,3124 t.,65.50 m.,66.50 m.,62.90 m.,16.00 m.,6.00 m.,4.50 m.,12.5,Diesel,Built ME: 2010 Country Construction: Japan The company has built ME: The number and power of ME: 1*1838 Mark ME: 6L28HXBuilt ME: 2010 Country Construction: Japan The company has built ME: The number and power of ME: 1*1838 Mark ME: 6L28HX,,2 - Swingning propeller unit,4,4* 500 2* 900,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,5,6,,,,,,1*20.0 1*3.0,542,Diesel oil,463 m3,,,Cat3,44.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","Federal State Budgetary Institution ""Marine Rescue Service""  Address: Russia, 125993 Moscow, ul. Petrovka, 3/6 IMO: 5715105 Email: info@morspas.com Company Website: morspas.com","The Baltic Branch of MRS  Address: Russia, 198096 St.Petersburg, Elevatornaya ploshchadka, d.1 IMO: Email: info_balt@morspas.com; otof_balt@morspas.com Company Website:","Federal State Budgetary Institution ""Marine Rescue Service""  Address: Russia, 125993 Moscow, ul. Petrovka, 3/6 IMO: 5715105 Email: info@morspas.com Company Website: morspas.com","Federal State Budgetary Institution ""Marine Rescue Service""  Address: Russia, 125993 Moscow, ul. Petrovka, 3/6 IMO: 5715105 Email: info@morspas.com Company Website: morspas.com"
OLGARRY,724340,7505449,OLGARRY,UBAQ5,Kaliningrad,Russia,KM* L4 R1 fishing vessel,,Fishing,14/03/1976,The Netherlands,136,,,341 MK-1969,103 MK-1969,,623 t.,34.40 m.,-,,7.30 m.,5.90 m.,3.99 m.,,Diesel,Built ME: 1981 Country Construction: United States of America The company has built ME: The number and power of ME: 1*625 Mark ME:,,1 - Controllable pitch propeller,4,2* 240,,,,,"Automatic identification system Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Equipment of Long-range identification and Tracking of Ships with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Radio station for life-saving craft Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,4* 236,,2,6,,,,,,,29,Diesel oil,97 m3,,189,Cat2,22.0,"""NORD FLOT"" LLC  Address: Russia, 238345 Kaliningradskaya obl., Svetlyy, p. Vzmorye, ul. Zalivnaya, d. 2A, pom. 22 IMO: Email: 9643061@mail.ru Company Website:","""NORD FLOT"" LLC  Address: Russia, 238345 Kaliningradskaya obl., Svetlyy, p. Vzmorye, ul. Zalivnaya, d. 2A, pom. 22 IMO: Email: 9643061@mail.ru Company Website:",,,
