,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
10,ПРИМОРСК,120052,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) L3 [1] R3,,Tender,01/01/1977,,,,,83,25,25.000 t.,0 t.,19.68 m.,19.68 m.,0.00 m.,5.40 m.,2.80 m.,1.79 m.,12.0,Diesel,Built ME: 0 Country Construction: Italy The company has built ME: The number and power of ME: 2*331 Mark ME:,,2 - Fixed pitched solid propeller,4,1* 35,,,,,Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Radio navigation system receiver VHF radio-telephone station,,,,,1,3,0,0,0,,,,9,Diesel oil,0 m3,,42,Cat1,13.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","""ROSMORPORT SPB BRANCH"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 198035 St.Petersburg, ul. Gapsalskaya, d. 8 IMO: Email: mail@spb.rosmorport.ru Company Website: www.rosmorport.ru",,
11,МТ-77,120092,,,,Bolshoy port of St.-Petersburg,Russia,K(*) R3 oil recovery ship,,Oil recovery ship,25/04/1994,,,,,86,26,120.000 t.,0 t.,27.92 m.,27.92 m.,0.00 m.,6.00 m.,1.50 m.,1.20 m.,0.0,Non-propel,,,,0,,,,,,,,,,,1,8,0,0,0,,,,0,,0 m3,,0,Cat2,13.0,"ECOSHELF-BALTIC LLC  Address: Russia, 199106 St.Petersburg, pl. Morskoy Slavy, d. 1, of. 6121 IMO: Email: ecoshelf-baltic@peterlink.ru Company Website: www.ecoshelf-baltic.ru",,,,
12,MIRNYY,120163,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) L3 [1] R3,,Pilot,05/05/1989,USSR,85,,,87,26,15.000 t.,0 t.,23.10 m.,23.10 m.,0.00 m.,5.80 m.,2.80 m.,1.87 m.,12.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 2*220 Mark ME: WD618C-22,,2 - Fixed pitched solid propeller,4,1* 16,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,16.0,"Индивидуальный предприниматель Рябоконь Виктор Александрович  Address: Russia, 195112, St.Petersburg, Zanevskiy pr., d. 4, kv. 14 IMO: Email: rva@spb-pilot.ru Company Website:","Индивидуальный предприниматель Рябоконь Виктор Александрович  Address: Russia, 195112, St.Petersburg, Zanevskiy pr., d. 4, kv. 14 IMO: Email: rva@spb-pilot.ru Company Website:","SHIPPING SPB LTD  Address: Russia, 198035 St.Petersburg, Mezhevoy kanal, d. 3, korp. 2 IMO: Email: rva@spb-pilot.ru; 904yrg@mail.ru Company Website:",,
13,ДЕЛЬФИН,120169,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) L3 [1] R3,,Pilot,26/06/1985,Russia,,,,80,24,15.000 t.,0 t.,23.10 m.,23.10 m.,0.00 m.,5.80 m.,2.80 m.,1.80 m.,12.0,Diesel,"Built ME: 2004 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 2*220 Mark ME: 3D12 A",,2 - Fixed pitched solid propeller,4,1* 16,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,11,Diesel oil,0 m3,,0,Cat1,13.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","""ROSMORPORT SPB BRANCH"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 198035 St.Petersburg, ul. Gapsalskaya, d. 8 IMO: Email: mail@spb.rosmorport.ru Company Website: www.rosmorport.ru",,
14,АГЛАЯ,120183,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) Ice2 R2 tug,,Tug,17/06/1992,,,,,78,0,14.000 t.,0 t.,23.40 m.,23.40 m.,0.00 m.,5.70 m.,2.60 m.,1.87 m.,12.5,Diesel,Built ME: Country Construction: Russia The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*232 Mark ME: 8CHNSP 2A 18/22,,1 - Fixed pitched solid propeller,0,1* 13,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"ECOSHELF-BALTIC LLC  Address: Russia, 199106 St.Petersburg, pl. Morskoy Slavy, d. 1, of. 6121 IMO: Email: ecoshelf-baltic@peterlink.ru Company Website: www.ecoshelf-baltic.ru",,,,
15,ПОРТОВЫЙ-1,120184,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) L3 R2 tug,,Tug,31/07/1981,USSR,,,,78,0,15.000 t.,0 t.,23.40 m.,23.40 m.,0.00 m.,5.70 m.,2.60 m.,0.00 m.,0.0,Diesel,Built ME: 1979 Country Construction: USSR The company has built ME: The number and power of ME: 1*232 Mark ME: 8CHNSP 18/22-1,,,4,1* 14 2* 1 1* 13,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,19.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","Federal State Budgetary Institution ""Marine Rescue Service""  Address: Russia, 125993 Moscow, ul. Petrovka, 3/6 IMO: 5715105 Email: info@morspas.com Company Website: morspas.com","The Baltic Branch of MRS  Address: Russia, 198096 St.Petersburg, Elevatornaya ploshchadka, d.1 IMO: Email: info_balt@morspas.com; otof_balt@morspas.com Company Website:",,
16,НБ-6,120186,,,,Bolshoy port of St.-Petersburg,Russia,K* R3 oil recovery ship,,Oil recovery ship,12/12/1986,,,,,65,0,120.000 t.,0 t.,28.20 m.,28.20 m.,0.00 m.,6.00 m.,1.50 m.,0.00 m.,0.0,Non-propel,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"ECOSHELF-BALTIC LLC  Address: Russia, 199106 St.Petersburg, pl. Morskoy Slavy, d. 1, of. 6121 IMO: Email: ecoshelf-baltic@peterlink.ru Company Website: www.ecoshelf-baltic.ru",,,,
17,КАЗАНЬ,120195,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) Ice2 R3,,Tender,01/11/2002,,,,,47,0,4.000 t.,0 t.,18.00 m.,18.00 m.,0.00 m.,4.70 m.,2.80 m.,0.00 m.,0.0,Diesel,Built ME: Country Construction: Sweden The company has built ME: SCANIA CV AB (publ) The number and power of ME: 2*428 Mark ME: DI 12 59 M,,2 - Fixed pitched propeller with detachable blades,4,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"TRANSNEFT'-PORT PRIMORSK, LTD  Address: Russia,188910 Leningradskaya obl., Vyborgskiy r-n, Primorsk IMO: Email: MeleshkinaNI@prm.transneft.ru Company Website:","TRANSNEFT'-PORT PRIMORSK, LTD  Address: Russia,188910 Leningradskaya obl., Vyborgskiy r-n, Primorsk IMO: Email: MeleshkinaNI@prm.transneft.ru Company Website:","""TRANSNEFT - SERVICE"" LLC  Address: Russia, 353913 Krasnodarskiy kray, Novorossiysk, pr. Lenina, d.37 IMO: 5496202 Email: sekretar2@transneft-service.ru Company Website:",,
18,ТЮМЕНЬ,120197,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) Ice2 R3,,Tender,04/09/2003,,,,,47,0,3.000 t.,0 t.,18.00 m.,18.00 m.,0.00 m.,4.70 m.,2.80 m.,0.00 m.,0.0,Diesel,Built ME: Country Construction: Sweden The company has built ME: SCANIA CV AB (publ) The number and power of ME: 2*428 Mark ME:,,2 - Fixed pitched solid propeller,4,1* 19,,,,,,,,,,0,0,0,0,0,,,,0,Diesel oil,0 m3,,0,,0.0,"TRANSNEFT'-PORT PRIMORSK, LTD  Address: Russia,188910 Leningradskaya obl., Vyborgskiy r-n, Primorsk IMO: Email: MeleshkinaNI@prm.transneft.ru Company Website:","TRANSNEFT'-PORT PRIMORSK, LTD  Address: Russia,188910 Leningradskaya obl., Vyborgskiy r-n, Primorsk IMO: Email: MeleshkinaNI@prm.transneft.ru Company Website:","""TRANSNEFT - SERVICE"" LLC  Address: Russia, 353913 Krasnodarskiy kray, Novorossiysk, pr. Lenina, d.37 IMO: 5496202 Email: sekretar2@transneft-service.ru Company Website:",,
19,ЗЕУС,124182,,,,Astrakhan,Russia,KM(*) R3,,Crewboat,01/09/1979,Russia,,,,56,0,8.000 t.,0 t.,20.02 m.,20.02 m.,0.00 m.,6.00 m.,1.80 m.,0.00 m.,0.0,Diesel,"Built ME: 2012 Country Construction: Russia The company has built ME: MANUFACTURING ENTERPRISE ""REMDIESEL"" The number and power of ME: 2*140 Mark ME: ДРА 140/1500",,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"GIDROTRANS LLC  Address: Russia, 416425 Astrakhanskaya obl., Limanskiy r-n, s. Olya, ul. Chkalova, d. 27 IMO: Email: 585709@mail.ru Company Website:",,,,
20,ПРОТЕЙ,124211,,,UGPE,Temryuk,Russia,KM* L2 R3 tug,,Tug,12/12/1981,,,,,87,0,22.000 t.,0 t.,19.50 m.,-,0.00 m.,6.50 m.,3.40 m.,0.00 m.,0.0,Diesel,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","ROSMORPORT, FILIAL BRANCH OF THE FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 353500 Krasnodarskiy kray, Temryuk, ul.Gertsena, 46 IMO: Email: Office@tmn.rosmorport.ru Company Website:","ROSMORPORT, FILIAL BRANCH OF THE FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 353500 Krasnodarskiy kray, Temryuk, ul.Gertsena, 46 IMO: Email: Office@tmn.rosmorport.ru Company Website:",,
21,GARADAG-8,140180,,,GARADAG-8,Baku,Azerbaijan,KM(*) L3 R2 tug,,Tug,01/09/1983,USSR,,,,68,0,15.000 t.,0 t.,23.00 m.,23.00 m.,21.50 m.,5.70 m.,2.60 m.,1.85 m.,10.0,Diesel,Built ME: Country Construction: USSR The company has built ME: The number and power of ME: 1*232 Mark ME: 8CHNSP 18/22,,,0,1* 20 1* 14,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat2,19.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,
22,TOPAZ,141037,,,ТОПАЗ,Astrakhan,Russia,KM(*) [1] R3,,Tender,30/10/1955,USSR,78,,,83,35,16.000 t.,102 t.,26.83 m.,26.83 m.,24.10 m.,5.47 m.,2.80 m.,1.84 m.,11.0,Diesel,Built ME: 2010 Country Construction: Russia The company has built ME: The number and power of ME: 1*220 Mark ME: 12CHSP 15/18,,1 - Fixed pitched solid propeller,3,1* 16,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,5,0,0,0,,,,3,Diesel oil,0 m3,,0,Cat1,17.0,"""ROSMORPORT"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 414016 Astrakhany, ul. Kapitana Krasnova, d. 31 IMO: Email: rmp@astranet.ru Company Website:",,,,
